date_time,temperature,precipitation,wind_speed,humidity,radiation,total_cloudiness,visibility,ground_temp
060010,18.39300855,0,0.626054618,99.07704688,0,5.383688629,1406.307589,20.58732882
060020,18.12329185,0,0.666384807,98.93184561,0,5.378191249,1520.985931,20.92206311
060030,18.38219788,0,0.640154748,98.91070534,0,5.807724442,1583.682653,20.66350557
060040,18.11382677,0,0.706955325,98.93645702,0,5.654719174,1854.592384,21.15293171
060050,18.20236575,0,0.633896445,98.96963733,0,7.202625581,1839.823058,20.92986616
060100,18.539663,0,0.585900538,98.92604722,0,6.69659515,1822.438287,20.95457037
060110,18.49949395,0,0.690350468,98.90259792,0,5.965439626,1414.562716,20.9717102
060120,18.21703919,0,0.644677524,98.90787216,0,6.964366237,1665.558706,20.36305153
060130,18.29627164,0,0.655611923,99.00940679,0,5.324356434,1827.683875,20.6684112
060140,18.12404121,0,0.648837801,99.08678165,0,5.369032278,1673.026957,20.32005643
060150,18.61713544,0,0.669231869,99.0513057,0,5.871151959,1737.852521,20.77665385
060200,18.25478079,0,0.658498761,99.08721406,0,5.028836654,1720.73538,20.77045988
060210,18.52336877,0,0.649561689,98.98178209,0,5.407772093,1503.216276,20.43257807
060220,18.24226212,0,0.592981174,99.02430044,0,5.883250866,1644.524872,20.96481029
060230,18.08631548,0,0.675339957,99.03641025,0,5.052598146,1616.826872,20.44916186
060240,18.20676687,0,0.684405642,99.0213784,0,6.885708881,1837.816143,20.720782
060250,18.29874784,0,0.621064653,99.02080119,0,5.805721692,1571.853299,21.07671408
060300,18.10187401,0,0.658809802,99.07549929,0,5.876373043,1702.641786,20.79887662
060310,18.08748627,0,0.665299459,99.02213761,0,6.196288256,1479.625084,20.42878629
060320,18.59792665,0,0.633660345,98.95000108,0,5.68656197,1373.614973,20.78873507
060330,18.41808467,0,0.663022816,98.99494008,0,6.842496665,1664.954087,20.70859945
060340,18.26486099,0,0.66563524,98.99781551,0,5.559622196,1762.256807,20.72933166
060350,18.41791232,0,0.656915669,99.09033934,0,6.144966578,1766.131198,20.37306247
